,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,p_155140_ALBj050140 ~ 43.fits,2458397.456059,20.61,265.17,0.0038,0.0019,0.0019,0.0019,0.0007,0.0007,0.0038,0.002,,13.4,-91.32,69.77,6.65
1,p_155140_ALBj050144 ~ 47.fits,2458397.457678,20.59,265.17,0.0005,0.0044,0.002,0.002,0.0007,0.0007,0.0039,0.0021,,41.51,-91.32,74.05,6.89
2,p_155140_ALBj050148 ~ 51.fits,2458397.459293,20.58,265.17,-0.0005,0.0063,0.0026,0.002,0.0007,0.0007,0.006,0.0021,,47.41,-91.32,74.35,6.77
3,p_155140_ALBj050152 ~ 55.fits,2458397.460907,20.57,265.17,-0.0011,0.0023,0.002,0.002,0.0007,0.0007,0.0016,0.0021,,57.92,-91.32,73.53,6.74
4,p_155140_ALBj050156 ~ 59.fits,2458397.462521,20.56,265.17,0.0005,0.0043,0.0024,0.002,0.0007,0.0007,0.0038,0.0021,,41.5,-91.32,74.06,6.88
5,p_155140_ALBj050160 ~ 63.fits,2458397.464134,20.55,265.17,-0.0003,0.0028,0.002,0.0022,0.0007,0.0007,0.0018,0.0023,,47.57,-91.32,81.53,7.09
6,p_155140_ALBj050164 ~ 67.fits,2458397.465746,20.53,265.16,-0.0,0.0001,0.0019,0.0019,0.0007,0.0007,0.0,0.0021,,55.5,-91.32,71.91,6.77
7,p_155140_ALBj050168 ~ 71.fits,2458397.467409,20.52,265.16,-0.0031,0.0025,0.0019,0.0019,0.0007,0.0007,0.0035,0.002,,70.48,-91.32,70.27,6.75
8,p_155140_ALBj050172 ~ 75.fits,2458397.469059,20.51,265.16,0.002,0.002,0.0019,0.0019,0.0007,0.0007,0.0021,0.002,,21.96,-91.32,70.27,6.78
9,p_155140_ALBj050176 ~ 79.fits,2458397.470701,20.5,265.16,0.0024,0.0026,0.0019,0.0026,0.0007,0.0007,0.0026,0.0024,,23.4,-91.32,84.99,6.81
10,p_155140_ALBj050189 ~ 92.fits,2458397.473032,20.46,265.16,0.0023,-0.0046,0.0035,0.0018,0.0007,0.0007,0.0046,0.0024,,-31.67,-91.32,82.93,6.63
11,p_155140_ALBj050193 ~ 96.fits,2458397.475244,20.45,265.16,0.0022,-0.0006,0.0022,0.0017,0.0007,0.0007,0.0008,0.0023,,-7.75,-91.32,80.5,6.83
12,p_155140_ALBj050197 ~ 00.fits,2458397.477362,20.44,265.16,0.0,-0.0052,0.0025,0.0018,0.0007,0.0007,0.0049,0.0019,,-44.76,-91.32,67.11,6.3
13,p_155140_ALBj050211 ~ 14.fits,2458397.480116,20.39,265.15,0.004,-0.0014,0.0017,0.0022,0.0007,0.0007,0.0039,0.0019,,-9.95,-91.32,64.92,6.4
14,p_155140_ALBj050215 ~ 18.fits,2458397.482749,20.37,265.15,0.0041,0.0036,0.0024,0.0027,0.0007,0.0007,0.0048,0.0026,,20.52,-91.32,92.48,6.33
15,p_155140_ALBj050219 ~ 22.fits,2458397.485284,20.36,265.15,0.0081,0.0032,0.0025,0.0023,0.0007,0.0007,0.0083,0.0025,,10.78,-91.32,88.71,6.39
16,p_155140_ALBj050223 ~ 26.fits,2458397.487737,20.35,265.15,0.0034,0.0008,0.0015,0.0017,0.0007,0.0007,0.0032,0.0016,,6.61,-91.32,56.76,6.36
17,p_155140_ALBj050227 ~ 30.fits,2458397.490121,20.33,265.15,0.0006,0.0006,0.0037,0.0016,0.0007,0.0007,0.0,0.0029,,22.59,-91.32,101.78,6.19
18,p_155140_ALBj050231 ~ 34.fits,2458397.492448,20.32,265.15,0.0051,0.0004,0.0018,0.0018,0.0007,0.0007,0.0048,0.0019,,2.42,-91.32,67.86,6.36
19,p_155140_ALBj050235 ~ 38.fits,2458397.494729,20.31,265.15,0.0005,0.0001,0.0018,0.0019,0.0007,0.0007,0.0,0.0019,,5.02,-91.32,67.11,6.24
20,p_155140_ALBj050239 ~ 42.fits,2458397.496968,20.29,265.15,0.0008,-0.0004,0.0017,0.0017,0.0007,0.0007,0.0,0.0018,,-13.96,-91.32,64.71,5.71
21,p_155140_ALBj050243 ~ 46.fits,2458397.499171,20.28,265.15,0.0061,0.0002,0.0017,0.0018,0.0007,0.0007,0.0058,0.0019,,1.13,-91.32,65.18,5.52
22,p_155140_ALBj050247 ~ 50.fits,2458397.501342,20.27,265.14,0.0009,-0.0034,0.002,0.002,0.0007,0.0007,0.0029,0.0021,,-37.8,-91.32,74.9,5.6
23,p_155140_ALBj050251 ~ 54.fits,2458397.503487,20.25,265.14,0.0003,0.0019,0.002,0.0021,0.0007,0.0007,0.0,0.0022,,40.53,-91.32,76.97,6.57
24,p_155140_ALBj050255 ~ 58.fits,2458397.505608,20.24,265.14,0.0003,0.0002,0.002,0.002,0.0007,0.0007,0.0,0.0021,,16.84,-91.32,73.42,5.86
25,p_155140_ALBj050259 ~ 62.fits,2458397.507707,20.23,265.14,0.0016,-0.0048,0.0042,0.0022,0.0007,0.0007,0.0044,0.0026,,-35.62,-91.32,91.03,5.62
26,p_155140_ALBj050263 ~ 66.fits,2458397.509786,20.21,265.14,-0.0018,-0.0024,0.002,0.002,0.0007,0.0007,0.0022,0.0021,,-63.13,-91.32,73.91,5.71
27,p_155140_ALBj050267 ~ 70.fits,2458397.511849,20.2,265.14,-0.0004,-0.0013,0.0022,0.003,0.0007,0.0007,0.0,0.003,,-53.62,-91.32,105.93,5.59
28,p_155140_ALBj050274 ~ 77.fits,2458397.514041,20.17,265.14,0.0027,-0.0029,0.0019,0.0018,0.0007,0.0007,0.0035,0.002,,-23.75,-91.32,69.69,5.5
29,p_155140_ALBj050278 ~ 81.fits,2458397.516209,20.16,265.14,0.0017,-0.0017,0.0018,0.0018,0.0007,0.0007,0.0017,0.0019,,-22.64,-91.32,66.75,5.46
30,p_155140_ALBj050282 ~ 85.fits,2458397.518356,20.14,265.14,0.002,-0.0046,0.0019,0.0019,0.0007,0.0007,0.0047,0.0021,,-33.53,-91.32,72.26,5.33
31,p_155140_ALBj050286 ~ 89.fits,2458397.520484,20.13,265.14,0.0052,-0.0024,0.002,0.0021,0.0007,0.0007,0.0053,0.0022,,-12.64,-91.32,75.62,5.91
32,p_155140_ALBj050291 ~ 94.fits,2458397.522649,20.11,265.13,-0.0008,-0.0061,0.0027,0.0052,0.0007,0.0007,0.0033,0.0052,,-48.62,-91.32,183.12,5.99
33,p_155140_ALBj050307 ~ 10.fits,2458397.52512,20.06,265.13,0.0018,-0.0031,0.0016,0.0016,0.0007,0.0007,0.0033,0.0017,,-30.07,-91.32,60.44,5.52
34,p_155140_ALBj050311 ~ 14.fits,2458397.527556,20.04,265.13,0.0009,-0.0002,0.0016,0.0017,0.0007,0.0007,0.0,0.0018,,-6.84,-91.32,61.92,5.18
35,p_155140_ALBj050316 ~ 19.fits,2458397.530013,20.02,265.13,0.0036,0.0019,0.0018,0.0017,0.0007,0.0007,0.0037,0.0019,,14.01,-91.32,66.83,4.34
36,p_155140_ALBj050320 ~ 23.fits,2458397.532467,20.01,265.13,0.0017,-0.0016,0.0016,0.0016,0.0007,0.0007,0.0018,0.0017,,-21.74,-91.32,60.67,4.8
37,p_155140_ALBj050324 ~ 27.fits,2458397.534889,19.99,265.13,0.0032,0.0014,0.0024,0.0017,0.0007,0.0007,0.0027,0.0024,,11.53,-91.32,82.53,3.79
38,p_155140_ALBj050336 ~ 39.fits,2458397.537471,19.95,265.12,-0.0007,-0.0007,0.0015,0.0015,0.0007,0.0007,0.0,0.0016,,-66.85,-91.32,57.47,4.49
39,p_155140_ALBj050340 ~ 43.fits,2458397.540016,19.94,265.12,-0.0027,-0.0015,0.0015,0.0015,0.0007,0.0007,0.0027,0.0016,,-75.75,-91.32,56.63,3.74
40,p_155140_ALBj050344 ~ 47.fits,2458397.542527,19.93,265.12,-0.0041,0.0069,0.0014,0.0014,0.0007,0.0007,0.0078,0.0016,,60.29,-91.32,56.63,2.64
41,p_155140_ALBj050376 ~ 79.fits,2458397.545621,19.82,265.11,-0.0015,0.0013,0.0026,0.0028,0.0007,0.0007,0.0,0.0028,,69.44,-91.32,97.74,4.26
42,p_155140_ALBj050380 ~ 83.fits,2458397.548658,19.81,265.11,-0.0019,0.0031,0.0027,0.0029,0.0007,0.0007,0.0024,0.0029,,60.89,-91.32,102.58,4.17
43,p_155140_ALBj050384 ~ 87.fits,2458397.55164,19.79,265.11,0.0022,0.0035,0.0035,0.0046,0.0007,0.0007,0.0,0.0044,,28.8,-91.32,153.93,4.18
44,p_155140_ALBj050400 ~ 03.fits,2458397.563102,19.74,265.11,-0.0065,0.0062,0.0039,0.0043,0.0007,0.0007,0.008,0.0041,,68.23,-91.32,144.49,4.04
45,p_155140_ALBj050404 ~ 07.fits,2458397.565888,19.72,265.11,-0.0034,-0.0004,0.0023,0.0023,0.0007,0.0007,0.0025,0.0024,,-87.01,-91.32,84.23,3.72
46,p_155140_ALBj050408 ~ 11.fits,2458397.568636,19.71,265.11,-0.0007,-0.0025,0.0019,0.0019,0.0007,0.0007,0.0019,0.002,,-52.41,-91.32,70.6,4.22
47,p_155140_ALBj050420 ~ 23.fits,2458397.571494,19.67,265.11,0.0043,0.0009,0.0016,0.0016,0.0007,0.0007,0.004,0.0017,,5.91,-91.32,60.86,4.1
48,p_155140_ALBj050424 ~ 27.fits,2458397.574312,19.66,265.1,-0.0025,-0.0011,0.0016,0.0016,0.0007,0.0007,0.0023,0.0017,,-78.6,-91.32,59.86,4.15
49,p_155140_ALBj050428 ~ 31.fits,2458397.577094,19.64,265.1,-0.0036,0.0005,0.0016,0.0017,0.0007,0.0007,0.0032,0.0017,,86.36,-91.32,59.84,3.59
50,p_155140_ALBj050432 ~ 35.fits,2458397.579841,19.63,265.1,0.0007,-0.0003,0.0017,0.0017,0.0007,0.0007,0.0,0.0018,,-11.93,-91.32,64.31,4.17
51,p_155140_ALBj050436 ~ 39.fits,2458397.582555,19.62,265.1,-0.0007,-0.002,0.0018,0.0019,0.0007,0.0007,0.0011,0.002,,-55.04,-91.32,69.67,3.9
52,Weighted_average,2458397.511517,20.15,265.17,0.0008,0.0001,0.0003,0.0003,0.0007,0.0007,0.0008,0.0007,0.0008,3.63,8.49,24.76,5.37
