,filename,JD,alpha [deg],PsANG [deg],q,u,ran_q,ran_u,sys_q,sys_u,P,eP,Pr,theta,theta_r,eTheta,Aper_radius [pix]
0,msi181009_640177 ~ 80.fits,58400.553927,8.96,265.6,-0.0117,-0.0002,0.0055,0.0052,0.0003,0.0003,0.0103,0.0055,,-89.63,-180.76,15.13,6.28
1,msi181009_640181 ~ 84.fits,58400.558555,8.95,265.6,-0.013,0.0031,0.0048,0.0052,0.0003,0.0003,0.0125,0.0048,,83.23,-180.76,11.04,7.48
2,msi181009_640185 ~ 88.fits,58400.563186,8.94,265.6,-0.0177,0.0045,0.0053,0.0051,0.0003,0.0003,0.0174,0.0053,,82.89,-180.76,8.7,6.15
3,msi181009_640189 ~ 92.fits,58400.567793,8.92,265.61,-0.0097,-0.0003,0.0052,0.0054,0.0003,0.0003,0.0082,0.0052,,-89.23,-180.76,18.27,6.82
4,msi181009_640193 ~ 96.fits,58400.572421,8.91,265.61,-0.0136,0.0058,0.0057,0.0058,0.0003,0.0003,0.0136,0.0058,,78.37,-180.76,12.1,7.88
5,msi181009_640197 ~ 00.fits,58400.577041,8.9,265.62,-0.0154,0.0069,0.0051,0.0051,0.0003,0.0003,0.0161,0.0051,,78.02,-180.76,9.04,6.53
6,msi181009_640201 ~ 04.fits,58400.581662,8.88,265.62,-0.0097,0.0012,0.0051,0.0052,0.0003,0.0003,0.0083,0.0051,,86.33,-180.76,17.73,6.55
7,msi181009_640205 ~ 08.fits,58400.586288,8.87,265.62,-0.0075,0.0158,0.005,0.0049,0.0003,0.0003,0.0168,0.0049,,57.78,-180.76,8.4,6.37
8,msi181009_640209 ~ 12.fits,58400.590901,8.86,265.63,-0.0121,0.0048,0.0048,0.0052,0.0003,0.0003,0.0121,0.0048,,79.28,-180.76,11.48,7.95
9,msi181009_640213 ~ 16.fits,58400.596904,8.84,265.63,-0.0161,-0.0023,0.0055,0.005,0.0003,0.0003,0.0153,0.0055,,-85.85,-180.76,10.33,6.67
10,msi181009_640217 ~ 20.fits,58400.601545,8.82,265.63,-0.0134,-0.0024,0.0045,0.0044,0.0003,0.0003,0.0129,0.0045,,-84.92,-180.76,10.03,5.98
