sample,Filter,albedo,Pmin,a0,h,size_µm,albedo_type,description,origin,type,lab,
Olivine,O (0.585),0.531,-0.15,18.0,0.031,< 25,a5_i0e5_MgO,,Jackson County North Carolina USA,,Meudon Observatory,
Peridotite,O (0.585),0.395,-0.45,18.0,0.039,< 25,,,Black  Lake Quebec Canada,,Meudon Observatory,
Labradorite,O (0.585),0.376,-0.45,18.1,0.049,< 25,,,North Canada,,Meudon Observatory,
Hornblende,O (0.585),0.264,-0.50,18.0,0.060,< 25,,,Norway,,Meudon Observatory,
Obsidian,O (0.585),0.239,-0.30,17.0,0.060,< 25,,,Ascension Isl.,,Meudon Observatory,
Hypersthene,O (0.585),0.229,-0.55,16.0,0.080,< 25,,,Labrador Canada,,Meudon Observatory,
Basalt,O (0.585),0.200,-0.75,21.0,0.070,< 25,,,Hawaii GF/H.10,,Meudon Observatory,
Augite,O (0.585),0.161,-0.65,18.0,0.090,< 25,,,Balaton lake,,Meudon Observatory,
Andesite,O (0.585),0.136,-0.74,18.0,0.095,< 25,,,Chile JG/C-4,,Meudon Observatory,
Basalt,O (0.585),0.130,-0.89,23.5,0.105,< 25,,,HBS standard,,Meudon Observatory,
Ilmenite,O (0.585),0.067,-0.95,14.0,0.200,< 25,,,"Bambe, Norway",,Meudon Observatory,
Basaltic glass,O (0.585),0.048,-1.50,18.5,0.270,< 25,,,Hawaii,,Meudon Observatory,
Anthracite,O (0.585),0.032,-0.85,13.0,0.240,< 25,,,Liberia,,Meudon Observatory,
Candle soot,O (0.585),0.011,-1.25,10.5,0.290,< 25,,,Deposited on tray,,Meudon Observatory,
Candle soot,O (0.585),0.011,-0.75,11.5,0.250,< 25,,,Loosely piled,,Meudon Observatory,
,,,,,,,,,,,,
Tt  82,O (0.585),0.570,-0.24,15.0,0.027,,,Very light fine powder,Mendoza 1932,,Meudon Observatory,
Tt  14,O (0.585),0.310,-0.67,19.0,0.065,,,Very fine gray powder,Vulcano 4 Aug. 1888,,Meudon Observatory,
Tt 120,O (0.585),0.294,-0.55,16.5,0.067,,,Light fine powder,Guadeloupe 1838,,Meudon Observatory,
Lyot A,O (0.585),0.233,-0.90,22.0,0.090,,,Gray-brownish spherules,Vesuvius 1906,,Meudon Observatory,
Lyot B,O (0.585),0.218,-0.75,22.0,0.084,,,Gray-bluish powder,Vesuvius 1906,,Meudon Observatory,
Lyot C,O (0.585),0.206,-0.90,22.0,0.090,,,Gray-brownish powder,Vesuvius 9 Ap. 1906,,Meudon Observatory,
Tt  12,O (0.585),0.200,-0.79,21.0,0.095,200.000,,Light grains,Merapi 17 Feb. 1934,,Meudon Observatory,
Lyot D,O (0.585),0.180,-0.95,22.0,0.101,,,Gray-brownish spherules,Vesuvius 1906,,Meudon Observatory,
Lyot E,O (0.585),0.166,-1.10,23.0,0.096,,,Gray-brownish powder,Vesuvius 14 Ap. 1908,,Meudon Observatory,
Lyot F,O (0.585),0.156,-1.15,21.0,0.109,,,Gray spherules,Vesuvius 11 Ap. 1908,,Meudon Observatory,
Lyot G,O (0.585),0.096,-1.50,19.0,0.150,,,Brownish  coarse grains,Vesuvius 12 Ap. 1908,,Meudon Observatory,
Tt  78,O (0.585),0.071,-0.80,20.0,0.180,,,Dark small grains,New Hebrids,,Meudon Observatory,
Lyot H,O (0.585),0.063,-1.35,20.0,0.222,300-1000,,Dark spherules,Vesuvius 1872,,Meudon Observatory,
Lyot I,O (0.585),0.051,-1.60,19.0,0.216,1000-4000,,Black spherules,Vesuvius 1906,,Meudon Observatory,
Lyot J,O (0.585),0.048,-1.40,18.0,0.213,500-3000,,Gray spherules,Vesuvius 8 Ap. 1908,,Meudon Observatory,
,,,,,,,,,,,,
"67455,3",O (0.585/0.520),0.595,-0.30,21.0,0.025,,,lunar fine,,,Meudon Observatory,
"67461,19",O (0.585/0.520),0.300,-0.73,23.0,0.052,,,lunar fine,,,Meudon Observatory,
"420-19,222",O (0.585/0.520),0.220,-0.76,24.0,0.055,,,lunar fine,,,Meudon Observatory,
