category,sample,Pmin,a0,A5,Pmax,h,name,type_original,type,comment
Lunar Fine,1,-1.05,22,0.075,12.5,0.19,L16.3.7,,,
Lunar Fine,2,-1.1,22,0.075,13.5,0.17,10084.6,,,
Lunar Fine,3,-1,22.5,0.075,17,0.19,L16.19.1.116,,,
Lunar Fine,4,-1.05,22.5,0.085,10,0.15,L16.9.7,,,
Lunar Fine,5,-0.9,23,0.09,9,0.125,15081.59,,,
Lunar Fine,6,-0.85,22.5,0.095,9.5,0.135,15601.115,,,
Lunar Fine,7,-1,23,0.095,8.5,0.14,15021.158,,,
Lunar Fine,8,-1,21.5,0.1,10.5,0.16,12070.113,,,
Lunar Fine,9,-1.25,22,0.115,9,0.13,14003.12,,,
Lunar Fine,10,-0.95,22.5,0.115,7,0.11,15471.67,,,
Lunar Fine,11,-1.05,24,0.12,6.5,0.115,15261.9,,,
Lunar Fine,12,-1,24,0.125,6,0.11,15271.114,,,
Lunar Fine,13,-0.9,24,0.13,5.5,0.105,15101.13,,,
Lunar Fine,14,-1,24.5,0.13,5.5,0.115,15251.7,,,
Lunar Fine,15,-1.2,22,0.13,7.5,0.135,14163.29,,,
Lunar Fine,16,-1.2,23.5,0.145,5,0.095,15291.55,,,
Lunar Fine,17,-0.95,21.5,0.15,6.5,0.095,12032.39,,,
Lunar Fine,18,-1.1,21,0.175,5.5,0.09,12033.66,,,
Lunar Fine,19,-0.75,24,0.22,2.5,0.055,L20.19.222,,,
Lunar Fine,20,-0.75,23,0.3,2.5,0.05,67461.19,,,
Lunar Fine,21,-0.3,21,0.595,,0.025,67955.3,,,
Lunar Dust-Free,1,-0.7,13.5,0.07,35,0.225,15105.15.24(e),,,
Lunar Dust-Free,2,-0.7,15.5,0.08,40,0.14,15015.15.24(b),,,
Lunar Dust-Free,3,-0.6,9,0.09,,0.2,60016.48.6,,,
Lunar Dust-Free,4,-0.85,16.5,0.09,,,15015.15.24(2),,,
Lunar Dust-Free,5,-0.6,12,0.1,53.5,0.165,10020.42,,,
Lunar Dust-Free,6,-0.35,8.5,0.135,,0.105,12063.39,,,
Lunar Dust-Free,7,-0.3,10,0.135,37.5,,12002.102,,,
Lunar Dust-Free,8,-0.7,16.5,0.21,27,0.07,60016.22.6,,,
Lunar Dust-Free,9,-1.55,18.5,,,0.24,60015.37(1),,,
Lunar Dust-Free,10,-1,15.5,,,0.205,60015.37(2),,,
Lunar Dust-Free,11,-0.4,16,0.26,32,0.075,12051.51,,,
Lunar Dust-Free,12,-0.4,16,0.28,,0.08,14267.(3),,,
Lunar Dust-Free,13,-0.15,8,0.3,,0.035,68416.24,,,
Lunar Dusty,1,-1.05,19,0.085,,,15015.15.24(d),,,
Lunar Dusty,2,-0.9,19,0.085,34,0.19,10057.54,,,
Lunar Dusty,3,-1.4,22,0.09,13,0.22,79035.13 chip,,,
Lunar Dusty,4,-1.15,21,0.095,38,0.195,10059.36,,,
Lunar Dusty,5,-0.95,21,0.095,24.5,0.14,61016.23,,,
Lunar Dusty,6,-1.45,18.5,0.115,,0.22,60015.37,,,
Lunar Dusty,7,-1.2,19,0.12,,0.3,14267.(2),,,
Lunar Dusty,8,-1.1,20.5,0.12,,0.1,14267.(4),,,
Lunar Dusty,9,-1,19,0.12,36,0.13,14267.(A.12),,,
Lunar Dusty,10,-1.6,21.5,0.125,,0.23,60015.37(1),,,
Lunar Dusty,11,-1,21,0.155,,0.195,12063.39(1),,,
Lunar Dusty,12,-0.8,21,0.165,,0.12,"12063.39(2,3)",,,
