UT Date,JD,V,PA,ro,rh,Pr,err_Pr,Facility
2018-09-18,2458380.7069,17.7,87.71,0.28,0.96,31.92,0.78,NOT
2018-09-29,2458391.7200,16.2,44.03,0.22,1.13,8.73,0.30,NOT
2018-09-30,2458392.7443,16.2,39.52,0.22,1.15,6.23,0.06,NOT
2018-10-01,2458393.6288,16.1,35.73,0.23,1.16,5.03,0.06,NOT
2018-10-02,2458394.3960,16.0,32.51,0.23,1.18,3.62,0.07,Rozhen
2018-10-02,2458394.4077,16.0,32.46,0.23,1.18,4.04,0.08,Rozhen
2018-10-02,2458394.4275,16.0,32.37,0.23,1.18,3.77,0.07,Rozhen
2018-10-02,2458394.4393,16.0,32.32,0.23,1.18,3.04,0.07,Rozhen
2018-10-02,2458394.4598,16.0,32.24,0.23,1.18,3.56,0.13,Rozhen
2018-10-02,2458394.4718,16.0,32.19,0.23,1.18,3.64,0.13,Rozhen
2018-10-03,2458394.5022,16.0,32.06,0.23,1.18,3.70,0.13,Rozhen
2018-10-03,2458394.5248,16.0,31.97,0.23,1.18,3.53,0.13,Rozhen
2018-10-03,2458394.5365,16.0,31.92,0.23,1.18,3.85,0.15,Rozhen
2018-10-03,2458394.5564,16.0,31.83,0.23,1.18,3.28,0.15,Rozhen
2018-10-03,2458394.5681,16.0,31.79,0.23,1.18,3.28,0.13,Rozhen
2018-10-03,2458394.5889,16.0,31.70,0.23,1.18,3.59,0.13,Rozhen
2018-10-03,2458394.6004,16.0,31.65,0.23,1.18,3.48,0.13,Rozhen
2018-10-03,2458394.6197,16.0,31.57,0.23,1.18,3.11,0.14,Rozhen
2018-10-03,2458394.6312,16.0,31.52,0.23,1.18,3.66,0.15,Rozhen
2018-10-04,2458396.3438,15.9,24.73,0.24,1.20,1.16,0.13,Rozhen
2018-10-04,2458396.3557,15.9,24.68,0.24,1.20,1.31,0.14,Rozhen
2018-10-04,2458396.3759,15.9,24.61,0.24,1.20,1.13,0.15,Rozhen
2018-10-04,2458396.3892,15.9,24.56,0.24,1.20,1.09,0.14,Rozhen
2018-10-04,2458396.4089,15.9,24.48,0.24,1.20,1.27,0.13,Rozhen
2018-10-04,2458396.4207,15.9,24.43,0.24,1.20,1.20,0.13,Rozhen
2018-10-04,2458396.4411,15.9,24.36,0.24,1.20,0.83,0.12,Rozhen
2018-10-04,2458396.4531,15.9,24.31,0.24,1.20,1.02,0.12,Rozhen
2018-10-04,2458396.4770,15.9,24.22,0.24,1.20,0.95,0.13,Rozhen
2018-10-04,2458396.4817,15.9,24.20,0.24,1.20,0.76,0.07,NOT
2018-10-04,2458396.4891,15.9,24.17,0.24,1.20,0.88,0.14,Rozhen
2018-10-05,2458396.5090,15.9,24.10,0.24,1.20,0.71,0.13,Rozhen
2018-10-05,2458396.5214,15.9,24.05,0.24,1.20,0.95,0.12,Rozhen
2018-10-05,2458396.5447,15.9,23.96,0.24,1.20,0.86,0.11,Rozhen
2018-10-05,2458396.5565,15.9,23.91,0.24,1.20,0.72,0.13,Rozhen
2018-10-05,2458396.5775,15.9,23.83,0.24,1.20,0.93,0.13,Rozhen
2018-10-05,2458397.4609,15.9,20.59,0.25,1.23,0.09,0.05,NOT
2018-10-05,2458397.4971,15.9,20.46,0.25,1.23,0.14,0.10,NOT
2018-10-06,2458397.5371,15.9,20.31,0.25,1.23,0.16,0.06,NOT
2018-10-06,2458397.5827,15.9,20.14,0.25,1.23,0.10,0.06,NOT
2018-10-06,2458397.6337,15.9,19.96,0.25,1.23,0.003,0.04,NOT
2018-10-06,2458398.4378,15.9,17.15,0.25,1.23,-0.10,0.17,Rozhen
2018-10-06,2458398.4537,15.9,17.10,0.25,1.23,-0.13,0.17,Rozhen
2018-10-11,2458403.4930,15.8,2.58,0.25,1.23,-0.64,0.05,NOT
2018-10-12,2458404.3936,15.7,0.74,0.25,1.23,-0.22,0.07,NOT
2018-10-14,2458405.5766,15.9,2.25,0.25,1.23,-0.44,0.07,NOT
2018-10-15,2458406.5607,16.2,4.18,0.25,1.23,-0.95,0.06,NOT
2018-10-17,2458408.6104,16.6,7.83,0.25,1.23,-1.11,0.05,NOT
