id,name,altname,label,date,middletime,jd,alpha,value,value_err,reference,obsmode,filter,weighted_mean,N,exptime,comment,airmass
3200,Phaethon,1983 TB,Phaethon,2004-12-14,21:27:00,2453354.394,23,0.43,0.088,2006A&A...455..371F,pol,V,0,1,,,
3200,Phaethon,1983 TB,Phaethon,2016-09-15,11:11:06,2457646.966,106.5,51.8,2,2018NatCo...9.2486I,pol,Rc,0,1,,,5
3200,Phaethon,1983 TB,Phaethon,2016-09-15,11:19:42,2457646.972,106.5,47.6,2.1,2018NatCo...9.2486I,pol,Rc,0,1,,,5
3200,Phaethon,1983 TB,Phaethon,2016-09-15,11:28:16,2457646.978,106.5,47.7,2.1,2018NatCo...9.2486I,pol,Rc,0,1,,,6
3200,Phaethon,1983 TB,Phaethon,2016-09-15,11:36:52,2457646.984,106.5,53.6,2.4,2018NatCo...9.2486I,pol,Rc,0,1,,,6
3200,Phaethon,1983 TB,Phaethon,2016-09-17,15:31:57,2457649.147,101.3,52.2,2.5,2018NatCo...9.2486I,pol,Rc,0,1,,,5
3200,Phaethon,1983 TB,Phaethon,2016-09-17,15:45:09,2457649.156,101.3,42,2.1,2018NatCo...9.2486I,pol,Rc,0,1,,,5
3200,Phaethon,1983 TB,Phaethon,2016-09-17,15:57:44,2457649.165,101.3,51.5,2,2018NatCo...9.2486I,pol,Rc,0,1,,,4
3200,Phaethon,1983 TB,Phaethon,2016-09-17,16:10:19,2457649.174,101.3,48,1.8,2018NatCo...9.2486I,pol,Rc,0,1,,,4
3200,Phaethon,1983 TB,Phaethon,2016-09-17,18:16:50,2457649.262,101.3,43,3.7,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-09-17,18:25:24,2457649.268,101.3,50.6,2,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-09-17,18:34:00,2457649.274,101.3,48.4,1.3,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-09-24,14:00:17,2457656.084,85.4,35,0.5,2018NatCo...9.2486I,pol,Rc,0,1,,weather?,2
3200,Phaethon,1983 TB,Phaethon,2016-09-24,14:53:34,2457656.121,85.4,37.4,1.1,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-09-24,15:49:46,2457656.16,85.4,35.7,0.6,2018NatCo...9.2486I,pol,Rc,0,1,,weather?,2
3200,Phaethon,1983 TB,Phaethon,2016-10-04,15:43:13,2457666.155,63.4,20.8,0.2,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-04,15:49:50,2457666.16,63.4,20.1,0.5,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-04,15:56:25,2457666.164,63.4,18.9,1.5,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-04,16:19:45,2457666.18,63.4,20.2,0.3,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-04,16:32:58,2457666.19,63.4,18.3,1.3,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-04,16:44:28,2457666.198,63.4,20.5,0.2,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:20:09,2457668.972,57.7,15.8,0.5,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:24:44,2457668.976,57.7,15.4,0.3,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:29:19,2457668.979,57.7,16.2,0.3,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:33:58,2457668.982,57.7,15.9,0.2,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:38:33,2457668.985,57.7,17.3,0.7,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:43:09,2457668.988,57.7,16.7,0.9,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,11:47:54,2457668.992,57.7,18.9,2.8,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-10-07,18:49:02,2457669.284,57.7,15.6,0.4,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-07,18:55:38,2457669.289,57.7,15.1,0.4,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-07,19:02:13,2457669.293,57.7,15.5,0.4,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-07,19:09:30,2457669.298,57.7,16.1,0.4,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-10-07,19:16:06,2457669.303,57.7,15.8,0.3,2018NatCo...9.2486I,pol,Rc,0,1,,,2
3200,Phaethon,1983 TB,Phaethon,2016-11-07,10:27:41,2457699.936,33,3.1,0.8,2018NatCo...9.2486I,pol,Rc,0,1,,,1
3200,Phaethon,1983 TB,Phaethon,2016-11-07,10:36:17,2457699.942,33,4.4,1.3,2018NatCo...9.2486I,pol,Rc,0,1,,,1
