date,alpha,P,dP,theta_P,dtheta_P,Pr,theta_r,obs
2018 Sep 24,68.08,22.74,3.59,0.33,4.52,22.73,0.91,MSI
2018 Sep 25,63.6,19.45,0.84,-4.02,1.24,19.33,-3.18,MSI
2018 Sep 27,55.44,14.1,1.29,-0.8,2.63,14.09,0.65,MSI
2018 Oct 02,33.49,4.22,0.22,-5.38,1.53,4.22,-1.75,MSI
2018 Oct 03,29.28,2.4,0.1,-5.37,1.21,2.39,-1.31,MSI
2018 Oct 04,25.47,1.43,0.09,-4.63,1.86,1.43,-0.2,MSI
2018 Oct 08,11.67,1.16,0.1,82.57,2.41,-1.16,87.46,MSI
2018 Oct 09,8.66,1.37,0.09,82.81,1.79,-1.36,87.13,MSI
2018 Sep 12,106.47,51.44,3.62,-5.11,2.01,51.31,-2.04,ALFOSC/FAPOL
2018 Sep 19,87.74,43.18,0.59,-1.24,0.39,43.16,-0.76,ALFOSC/FAPOL
2018 Sep 30,44.01,8.68,0.14,-5.24,0.47,8.65,-2.72,ALFOSC/FAPOL
2018 Oct 01,39.53,6.49,0.13,-5.42,0.56,6.47,-2.43,ALFOSC/FAPOL
2018 Oct 02,35.7,4.83,0.06,-6.36,0.37,4.81,-2.96,ALFOSC/FAPOL
2018 Oct 04,24.08,1.27,0.06,-11.51,1.43,1.23,-6.95,ALFOSC/FAPOL
2018 Oct 04,24.08,1.22,0.06,-8.38,1.35,1.21,-3.82,ALFOSC/FAPOL
2018 Oct 05,20.54,0.31,0.05,45.16,4.84,-0.05,49.99,ALFOSC/FAPOL
2018 Oct 11,2.56,0.51,0.05,-8.73,2.7,-0.45,-13.36,ALFOSC/FAPOL
2018 Oct 12,0.74,0.39,0.05,-31.32,3.59,-0.36,76.64,ALFOSC/FAPOL
2018 Oct 14,2.25,0.87,0.06,83.31,1.87,-0.68,109.64,ALFOSC/FAPOL
2018 Oct 15,4.18,1.1,0.05,68.79,1.24,-1.09,88,ALFOSC/FAPOL
2018 Oct 17,7.83,1.09,0.07,68.35,1.82,-1.07,84.26,ALFOSC/FAPOL
