JD FILTER PA PsANG P errP Pr THETA errTHETA THETAr
2458400.06181945 Rc 11.91 265.09 1.6970 0.5753 -1.0783 59.8114 9.7176 -115.2741
2458400.06645486 Rc 11.89 265.09 0.9032 0.4872 -0.7872 70.4095 15.4607 -104.6770
2458400.07573032 Rc 11.86 265.09 1.6865 0.7110 -1.3255 65.9952 12.0838 -109.0943
2458400.08035706 Rc 11.85 265.09 1.1230 0.5133 -0.6855 58.9019 13.1020 -116.1886
2458400.08498091 Rc 11.83 265.09 1.0884 0.4983 -1.0863 86.8948 13.1215 -88.1967
2458400.10811516 Rc 11.76 265.10 1.4409 0.4501 -1.4295 81.4991 8.9529 -93.5984
2458400.11274421 Rc 11.75 265.10 0.7834 0.4639 -0.7822 86.6802 16.9741 -88.4193
2458400.11738078 Rc 11.73 265.10 0.4135 0.4068 0.0168 38.9337 28.1989 -136.1668
2458400.12200926 Rc 11.72 265.10 1.5432 0.3947 -1.1254 -73.3115 7.3317 -248.4130
2458400.12662789 Rc 11.70 265.10 1.3910 0.3927 -1.1612 -78.1961 8.0929 -253.2996
2458400.13125058 Rc 11.69 265.10 0.5974 0.3948 -0.4625 -75.2653 18.9398 -250.3698
2458400.13587963 Rc 11.68 265.11 0.7632 0.3709 -0.7393 -87.6959 13.9301 -262.8014
2458400.14050347 Rc 11.66 265.11 1.0980 0.3679 -1.0206 74.2861 9.6032 -100.8214
2458400.14525290 Rc 11.65 265.11 1.2452 0.3671 -1.1432 73.4286 8.4507 -101.6799
2458400.14988079 Rc 11.63 265.11 1.7436 0.3709 -1.6598 76.1892 6.0969 -98.9203
2458400.15450289 Rc 11.62 265.11 1.0733 0.3634 -0.9817 73.1880 9.7043 -101.9235
2458400.16376447 Rc 11.59 265.11 0.7969 0.3933 -0.6797 69.3786 14.1451 -105.7349
2458400.16838946 Rc 11.58 265.12 1.0050 0.4242 -0.9581 76.3287 12.0991 -98.7868
2458400.17766608 Rc 11.55 265.12 1.1005 0.4409 -1.0990 83.6309 11.4840 -91.4876
2458400.18228935 Rc 11.53 265.12 1.5624 0.4558 -1.4496 74.1664 8.3621 -100.9531
2458400.19617940 Rc 11.49 265.12 0.7981 0.4764 -0.3650 53.7334 17.1084 -121.3911
2458400.20079803 Rc 11.48 265.13 0.2260 0.4877 0.0030 -49.4892 61.8557 -224.6147
2458400.20542882 Rc 11.46 265.13 0.8622 0.4853 -0.7289 -78.7288 16.1337 -253.8563
2458400.21005845 Rc 11.45 265.13 1.1155 0.4852 -1.0786 77.7329 12.4671 -97.3956
